source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Donald J. Trump,,"8,марта,в,18:47",The Wall is being built and is well under construction. Big impact will be made. Many additional contracts are close to being signed. Far ahead of schedule despite all of the Democrat Obstruction and Fake News!,80 тыс.,65 тыс.,"1,2 тыс.",13 тыс.,139,20,100,Комментарии: 8 036,/story.php?story_fbid=10162253331995725&id=153080620724
Donald J. Trump,,"7,марта,в,21:37","The only thing ""immoral"" about Border Security is the politicians that do NOTHING as innocent Americans are victimized by failed policies!",26 тыс.,20 тыс.,191,"1,2 тыс.",116,"4,1 тыс.",456,Комментарии: 2 745,/story.php?story_fbid=10162247037455725&id=153080620724
Donald J. Trump,,"7,марта,в,17:31","President Donald J. Trump’s schedule for Thursday, March 7th: -Meet with the Secretary of the Treasury -Receive intelligence briefing -Lunch with the Secretary of State -Participate in a bilateral meeting with the Prime Minister of the Czech Republic -Meet with the Acting Secretary of Defense -Participate in a photo opportunity with the 2019 Senate Youth Program",10 тыс.,"8,7 тыс.",222,"1,3 тыс.",40,3,23,Комментарии: 1 763,/story.php?story_fbid=10162248943735725&id=153080620724
Donald J. Trump,,"7,марта,в,08:39","Democrats just blocked Fox News from holding a debate. Good, then I think I’ll do the same thing with the Fake News Networks and the Radical Left Democrats in the General Election debates!",103 тыс.,84 тыс.,"5,8 тыс.",12 тыс.,638,87,448,Комментарии: 10 877,/story.php?story_fbid=10162247930715725&id=153080620724
Donald J. Trump,,"7,марта,в,05:22",Today I participated in an American Workforce Policy Advisory Board Meeting. Companies are pouring back into our country at a RECORD level!,14 тыс.,11 тыс.,323,2 тыс.,37,11,34,Комментарии: 2 067,/story.php?story_fbid=10162247015425725&id=153080620724
Donald J. Trump,,"7,марта,в,04:13",It is shameful that House Democrats won’t take a stronger stand against Anti-Semitism in their conference. Anti-Semitism has fueled atrocities throughout history and it’s inconceivable they will not act to condemn it!,35 тыс.,30 тыс.,476,"1,7 тыс.",178,691,"2,4 тыс.",Комментарии: 4 736,/story.php?story_fbid=10162247029695725&id=153080620724
Donald J. Trump,,"6,марта,в,22:55","With radical policy proposals like the Green New Deal, the Democrat party has become TOTALLY UNHINGED.",17 тыс.,14 тыс.,888,"1,8 тыс.",81,53,103,Комментарии: 2 987,/story.php?story_fbid=10162237701900725&id=153080620724
Donald J. Trump,,"6,марта,в,18:52","President Donald J. Trump’s schedule for Wednesday, March 6th: -Greet former U.S. hostage in Yemen, Danny Burch and his family -Meet with Representative Adam Kinzinger -Participate in an American Workforce Policy Advisory Board Meeting","8,5 тыс.","7,1 тыс.",187,"1,1 тыс.",16,3,20,Комментарии: 1 302,/story.php?story_fbid=10162244083670725&id=153080620724
Donald J. Trump,,"7,марта,в,03:21",Republicans must stay united on the VERY IMPORTANT issue of Border Security!,21 тыс.,18 тыс.,405,"2,4 тыс.",30,15,73,Комментарии: 2 606,/story.php?story_fbid=10162246467570725&id=153080620724
Donald J. Trump,,"6,марта,в,19:54","""Our economy is so strong that more than a million American households are no longer dependent on food stamps, and newly employed workers can proudly say that President Donald Trump is the reason they can feed their families without government assistance.""",Aric Chen 曉天 и ещё 51 тыс.,44 тыс.,784,"6,2 тыс.",198,16,66,Комментарии: 3 878,/story.php?story_fbid=10162245275875725&id=153080620724
Donald J. Trump,,"7,марта,в,18:37",Our economy is RED HOT. We are putting people back to work!,22 тыс.,20 тыс.,454,"2,3 тыс.",57,6,39,Комментарии: 2 443,/story.php?story_fbid=10162249124810725&id=153080620724
Donald J. Trump,,"7,марта,в,00:10","""Ms. Trump, President Trump’s daughter and a top White House adviser, will convene the first meeting Wednesday of the American Workforce Policy Advisory Board, which aims to develop plans for how U.S. employers and the government can better train workers—and those still on the sidelines—and match them with 7.3 million unfilled jobs in the country.""",25 тыс.,22 тыс.,459,"2,6 тыс.",85,6,50,Комментарии: 2 305,/story.php?story_fbid=10162246223045725&id=153080620724
Donald J. Trump,,"6,марта,в,03:26",Today I signed an Executive Order to help prevent one of our nation’s most heartbreaking tragedies: VETERANS SUICIDE. To every Veteran—I want you to know that you have an entire nation of more than 300 million people behind you!,33 тыс.,26 тыс.,86,"5,8 тыс.",50,624,30,Комментарии: 2 856,/story.php?story_fbid=10162243006320725&id=153080620724
Donald J. Trump,,"5,марта,в,22:50","To all those impacted by the tornadoes in Alabama, we are here for you. God bless you all!",25 тыс.,21 тыс.,265,"3,9 тыс.",42,137,49,Комментарии: 2 037,/story.php?story_fbid=10162241661085725&id=153080620724
