source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Donald J. Trump,,"30,января,в,23:00","When I took the Oath of Office, I swore to protect our country. And that is what I will always do. Help Build The Wall: Text ""WALL"" to 88022.",47 тыс.,39 тыс.,1 тыс.,"6,5 тыс.",84,27,162,Комментарии: 6 323,/story.php?story_fbid=10162093794660725&id=153080620724
Donald J. Trump,,"29,января,в,17:34","New poll! Voters in vulnerable Democrat districts “support the president’s position on border security,"" NOT Speaker Pelosi's.",53 тыс.,46 тыс.,"1,2 тыс.","5,9 тыс.",131,20,83,Комментарии: 4 797,/story.php?story_fbid=10162088559275725&id=153080620724
Donald J. Trump,,"30,января,в,00:22","We are not even into February and the cost of illegal immigration so far this year is $18,959,495,168. There are at least 25,772,342 illegal aliens, not the 11,000,000 that have been reported for years, in our country. So ridiculous!",94 тыс.,50 тыс.,"1,4 тыс.","1,1 тыс.",12 тыс.,"2,4 тыс.",26 тыс.,Комментарии: 16 184,/story.php?story_fbid=10162085511410725&id=153080620724
Donald J. Trump,,"26,января,в,23:21","Estamos con ustedes, Venezuela. Con el gran liderazgo de nuestros aliados, el Presidente Trump y el Vicepresidente Pence hemos enviado una señal clara ––estamos con ustedes y tendrán la posibilidad de restaurar la libertad y la democracía en Venezuela de nuevamente. We are with you, Venezuela, With fearless leadership and together with our allies, President Trump and Vice-President Pence have sent a clear signal to the people of Venezuela––we are with you, and you now have the ability to restore freedom and democracy once again in Venezuela. #ElMundoConVzla",15 тыс.,13 тыс.,501,"2,2 тыс.",72,23,73,Комментарии: 3 044,/story.php?story_fbid=10162078267340725&id=153080620724
Donald J. Trump,,"29,января,в,01:00",Do you think the media will report on this and all of the other great economic news?,21 тыс.,17 тыс.,580,"3,3 тыс.",91,22,50,Комментарии: 2 829,/story.php?story_fbid=10162074408805725&id=153080620724
Donald J. Trump,,"28,января,в,23:00","The United States has a GREAT economic story to tell.  Number one in the world, by far!Соединенные Штаты имеют большую экономическую историю, чтобы рассказать об этом. Номер один в мире, далеко!",35 тыс.,29 тыс.,680,"5,5 тыс.",146,10,64,Комментарии: 3 239,/story.php?story_fbid=10162074407935725&id=153080620724
Donald J. Trump,,"27,января,в,21:35",We pledge with all of our might and resolve: never again.,73 тыс.,51 тыс.,241,"7,7 тыс.",130,13 тыс.,120,Комментарии: 4 506,/story.php?story_fbid=10162081871215725&id=153080620724
Donald J. Trump,,"28,января,в,18:45","African American, Asian American, and Hispanic American unemployment rates have reached RECORD LOWS!",26 тыс.,22 тыс.,481,"3,8 тыс.",99,17,54,Комментарии: 3 176,/story.php?story_fbid=10162070218010725&id=153080620724
Donald J. Trump,,"26,января,в,19:00","Many disagree, but I really feel that working with Democrats and Republicans, we can make a truly GREAT and SECURE deal happen for everyone.",33 тыс.,27 тыс.,732,"4,4 тыс.",80,63,151,Комментарии: 7 614,/story.php?story_fbid=10162074922740725&id=153080620724
Donald J. Trump,,"26,января,в,02:16","In a short while, I will sign a bill to open our Government for three weeks until February 15th. I will make sure that all employees receive their back pay very quickly.",55 тыс.,45 тыс.,1 тыс.,"7,4 тыс.",239,243,722,Комментарии: 9 729,/story.php?story_fbid=10162074472025725&id=153080620724
Donald J. Trump,,"25,января,в,23:00",Democrats – stop playing games and give Americans the GREAT border security they deserve!,37 тыс.,31 тыс.,817,"2,2 тыс.",151,404,"3,2 тыс.",Комментарии: 10 757,/story.php?story_fbid=10162069564955725&id=153080620724
Donald J. Trump,,"26,января,в,04:17","Let me be very clear: We have no choice but to build a powerful wall or steel barrier. If we don’t get a fair deal from Congress, the government will either shut down on February 15th, again, or I will use the powers afforded to me under the laws and the Constitution of the United States to address this emergency.",79 тыс.,64 тыс.,"1,4 тыс.",12 тыс.,173,110,411,Комментарии: 13 872,/story.php?story_fbid=10162074923610725&id=153080620724
"Donald J. Trump,The White House",The White House,"26,января,в,00:17",WATCH LIVE: President Trump delivers remarks regarding the shutdown,13 тыс.,10 тыс.,458,"2,3 тыс.",55,76,230,Комментарии: 3 389,/story.php?story_fbid=10162073668165725&id=153080620724
Donald J. Trump,,"25,января,в,20:35","Securing the Southern Border is a very, very big deal. It should have been done by all of the presidents that preceded me, but they couldn't get it done. We're going to get it done!",43 тыс.,35 тыс.,780,"6,5 тыс.",63,38,145,Комментарии: 6 786,/story.php?story_fbid=10162070291015725&id=153080620724
Donald J. Trump,,"25,января,в,16:30","President Donald J. Trump’s schedule for Friday, January 25th: · Lunch with the Secretary of State · Discussion on economic growth with our Nation’s mayors · Roundtable with Hispanic pastors",13 тыс.,11 тыс.,392,"1,5 тыс.",24,7,41,Комментарии: 2 367,/story.php?story_fbid=10162071188260725&id=153080620724
Donald J. Trump,,"25,января,в,03:44","If we ever let the Radical Left control our borders, we would have crime, drugs, and human trafficking like we have never seen before in the HISTORY of our country!",39 тыс.,33 тыс.,814,"4,3 тыс.",108,204,234,Комментарии: 6 656,/story.php?story_fbid=10162070315000725&id=153080620724
Donald J. Trump,,"25,января,в,18:00","Waiting on Democrats to come to the table!  “President Trump has repeatedly offered to reach across the table and make a deal, but Democrats won’t even attend a lunch at the White House to discuss potential compromise solutions to the border crisis.” - Dr. Lou Holtz",46 тыс.,38 тыс.,795,"1,7 тыс.",442,754,5 тыс.,Комментарии: 9 116,/story.php?story_fbid=10162069521695725&id=153080620724
Donald J. Trump,,"25,января,в,05:27","Los Democratas no son la voz de la comunidad Hispana en EEUU. Escuchen porque Maria Elvira Salazar una latina, apoya al President Trump y el Partido Republicano en esta entrevista con John Pence. Democrats aren't the voice for Hispanics in America. Listen to why Maria Elvira Salazar supports President Trump and the GOP as a Hispanic woman in this interview with John Pence.  #Latinos4Trump",13 тыс.,10 тыс.,583,"1,7 тыс.",54,11,43,Комментарии: 2 253,/story.php?story_fbid=10162070000230725&id=153080620724
Donald J. Trump,,"24,января,в,20:20",More people are working in the United States today than at any time in the HISTORY of our country. Media barely covers!,73 тыс.,61 тыс.,"1,3 тыс.","9,7 тыс.",379,51,163,Комментарии: 7 127,/story.php?story_fbid=10162068981465725&id=153080620724
Donald J. Trump,,"24,января,в,23:22",The State of the Union Address has been canceled by Nancy Pelosi because she doesn’t want to hear the truth and she doesn’t want the American public to know the TRUTH!,66 тыс.,52 тыс.,"1,2 тыс.","5,2 тыс.",772,"4,1 тыс.","2,8 тыс.",Комментарии: 13 728,/story.php?story_fbid=10162069507575725&id=153080620724
Donald J. Trump,,"23,января,в,17:40","President Donald J. Trump’s schedule for Wednesday, January 23rd: · Briefing call on immigration proposal with State, local, and community leaders · Fair and honest pricing in healthcare roundtable · Meeting with conservative leaders on immigration proposal",12 тыс.,10 тыс.,303,"1,6 тыс.",35,5,43,Комментарии: 2 591,/story.php?story_fbid=10162064916475725&id=153080620724
Donald J. Trump,,"24,января,в,00:27",BUILD A WALL & CRIME WILL FALL!,88 тыс.,73 тыс.,3 тыс.,11 тыс.,135,40,208,Комментарии: 11 794,/story.php?story_fbid=10162066132890725&id=153080620724
Donald J. Trump,,"23,января,в,19:07","I've put forward a commonsense plan to reopen the government and secure the border. Many of the ideas in this plan have been proposed, and previously supported, by Democrats themselves. Let's make a deal!",16 тыс.,14 тыс.,488,"1,9 тыс.",35,18,85,Комментарии: 3 839,/story.php?story_fbid=10162062740000725&id=153080620724
Donald J. Trump,,"23,января,в,04:28","This is a commonsense compromise BOTH parties should embrace – it provides humanitarian relief, delivers real border security, and immediately reopens our federal government.",31 тыс.,26 тыс.,631,"4,5 тыс.",56,20,140,Комментарии: 5 159,/story.php?story_fbid=10162062016620725&id=153080620724
Donald J. Trump,,"22,января,в,20:59","As a candidate for President, I promised I would fix this crisis, and I intend to keep that promise one way or the other.",26 тыс.,21 тыс.,513,"4,5 тыс.",29,12,93,Комментарии: 3 789,/story.php?story_fbid=10162061357835725&id=153080620724
Donald J. Trump,,"22,января,в,00:00",“The fact that President Trump has been able to achieve so much of his agenda despite the coordinated campaign to defy him is astounding.”  So true. We've accomplished the unthinkable and we're still WINNING despite constant attacks!,67 тыс.,56 тыс.,"1,2 тыс.",10 тыс.,107,27,115,Комментарии: 6 800,/story.php?story_fbid=10162057708700725&id=153080620724
Donald J. Trump,,"23,января,в,02:32","My poll numbers have gone way up with Hispanics. That is because they know the border issue better than anyone, and they want security!",48 тыс.,41 тыс.,"1,1 тыс.","5,7 тыс.",124,18,82,Комментарии: 3 724,/story.php?story_fbid=10162062589670725&id=153080620724
Donald J. Trump,,"22,января,в,23:36","I can promise you this: I will never forget that my first duty, and ultimate loyalty, is to YOU, the American people.",39 тыс.,31 тыс.,727,7 тыс.,42,18,121,Комментарии: 4 943,/story.php?story_fbid=10162062012070725&id=153080620724
Donald J. Trump,,"21,января,в,20:24","PROMISES MADE, PROMISES KEPT!",111 тыс.,94 тыс.,"1,6 тыс.",14 тыс.,172,29,145,Комментарии: 5 486,/story.php?story_fbid=10162057470105725&id=153080620724
Donald J. Trump,,"20,января,в,18:18","I made a pledge to Angel Families, and to all Americans, to fix our broken immigration system. I will not stop fighting until our borders are safe and secure!  Tell Nancy you want the wall: https://bit.ly/2FLsmdN",51 тыс.,44 тыс.,528,"5,8 тыс.",78,171,193,Комментарии: 4 645,/story.php?story_fbid=10162049833070725&id=153080620724
Donald J. Trump,,"21,января,в,01:54","Two years ago today, I promised: “Our country will THRIVE and PROSPER again.” We’re bringing back our jobs, securing our borders, restoring our wealth, and WINNING like never before. The forgotten men and women are no longer forgotten!🇺🇸",25 тыс.,20 тыс.,722,"4,1 тыс.",41,15,95,Комментарии: 4 080,/story.php?story_fbid=10162054215595725&id=153080620724
Donald J. Trump,,"20,января,в,23:13","Diamond And Silk have a message for Democrats and the media:  ""The American people aren’t blind, when we look at the mess on our southern border, we see it for what it is: A CRISIS.""",32 тыс.,29 тыс.,699,"2,9 тыс.",97,91,136,Комментарии: 3 754,/story.php?story_fbid=10162046923070725&id=153080620724
Donald J. Trump,,"21,января,в,21:35","Today we celebrate Dr. Martin Luther King, Jr. for standing up for the self-evident truth Americans hold so dear, that no matter what the color of our skin or the place of our birth, we are all created equal by God. https://bit.ly/2RUJNPO",51 тыс.,42 тыс.,703,"7,8 тыс.",101,35,123,Комментарии: 3 717,/story.php?story_fbid=10162057747540725&id=153080620724
Donald J. Trump,,"19,января,в,23:45","There is no question that we have a tremendous humanitarian and security crisis at our southern border. Every day that Democrats refuse to fund the border security measures that they supported in the past, the crisis gets worse!",18 тыс.,15 тыс.,473,2 тыс.,54,110,175,Комментарии: 3 764,/story.php?story_fbid=10162049658380725&id=153080620724
Donald J. Trump,,"20,января,в,08:06","""As a mother who lost her child at the hands of failed immigration policies, I know just how important border security is to American families.” - Marie Vega, Angel Mom",37 тыс.,25 тыс.,177,"2,1 тыс.",130,"8,6 тыс.",463,Комментарии: 3 945,/story.php?story_fbid=10162043120910725&id=153080620724
"Donald J. Trump,The White House",The White House,"20,января,в,02:00",WATCH LIVE as President Trump Delivers Remarks on the Humanitarian Crisis on Our Southern Border and the Shutdown,19 тыс.,14 тыс.,409,4 тыс.,34,23,124,Комментарии: 3 814,/story.php?story_fbid=10162050893860725&id=153080620724
Donald J. Trump,,"19,января,в,00:00",I have a great idea that will give Chuck and Nancy no choice but to listen to the American people: Send a BRICK straight to their offices and remind them WE NEED THE WALL!,129 тыс.,86 тыс.,27 тыс.,13 тыс.,465,105,659,Комментарии: 16 079,/story.php?story_fbid=10162046561430725&id=153080620724
Donald J. Trump,,"19,января,в,20:12",We have a country that is being invaded by criminals and drugs and we're going to STOP IT.,Donald J. Trump и ещё 30 тыс.,25 тыс.,653,"3,5 тыс.",177,88,247,Комментарии: 5 087,/story.php?story_fbid=10162042672285725&id=153080620724
Donald J. Trump,,"18,января,в,01:56","Without a strong border, America is defenseless, vulnerable, and unprotected. We need STRONG borders!",37 тыс.,31 тыс.,647,"5,2 тыс.",34,19,221,Комментарии: 5 012,/story.php?story_fbid=10162042515640725&id=153080620724
Donald J. Trump,,"18,января,в,05:46","Our goal is simple: to ensure that we can DETECT and DESTROY any missile launched against the United States—anywhere, anytime, anyplace.",25 тыс.,21 тыс.,366,"3,5 тыс.",63,14,123,Комментарии: 2 995,/story.php?story_fbid=10162043008890725&id=153080620724
Donald J. Trump,,"18,января,в,17:06","President Donald J. Trump’s schedule for Friday, January 18th: · Meeting with Secretary of the Treasury",14 тыс.,12 тыс.,490,"1,6 тыс.",36,6,92,Комментарии: 2 560,/story.php?story_fbid=10162044987300725&id=153080620724
Donald J. Trump,,"18,января,в,22:03","I will never, EVER back down.",112 тыс.,88 тыс.,"1,6 тыс.",21 тыс.,126,30,293,Комментарии: 10 053,/story.php?story_fbid=10162046155080725&id=153080620724
Donald J. Trump,,"17,января,в,20:26","If we don’t defend our borders, then we cease to be a nation.",74 тыс.,62 тыс.,"1,2 тыс.",10 тыс.,87,33,170,Комментарии: 6 122,/story.php?story_fbid=10162041412425725&id=153080620724
Donald J. Trump,,"18,января,в,19:22","Hopefully, Democrat lawmakers will step forward to do what is RIGHT for our country—and what is right is border security at the STRONGEST level.",29 тыс.,25 тыс.,615,"3,6 тыс.",67,52,238,Комментарии: 4 629,/story.php?story_fbid=10162043000005725&id=153080620724
Donald J. Trump,,"18,января,в,00:35",Dear Madame Speaker...,575 тыс.,362 тыс.,73 тыс.,135 тыс.,"2,1 тыс.",172,935,Комментарии: 64 438,/story.php?story_fbid=10162042221195725&id=153080620724
Donald J. Trump,,"17,января,в,17:11","President Donald J. Trump’s schedule for Thursday, January 17th: · Missile Defense Review Announcement",13 тыс.,11 тыс.,401,"1,5 тыс.",34,9,70,Комментарии: 2 209,/story.php?story_fbid=10162040861535725&id=153080620724
"Donald J. Trump,The White House",The White House,"17,января,в,21:31",Watch Live: President Trump Participates in the Missile Defense Review Announcement,10 тыс.,"8,2 тыс.",210,"1,5 тыс.",27,10,81,Комментарии: 1 147,/story.php?story_fbid=10162041619105725&id=153080620724
Donald J. Trump,,"17,января,в,01:37",You cannot have border security without a wall.,62 тыс.,53 тыс.,"1,2 тыс.","7,7 тыс.",76,28,239,Комментарии: 6 551,/story.php?story_fbid=10162017180780725&id=153080620724
Donald J. Trump,,"16,января,в,20:02",This is the reason why Democrats don’t want the wall: they all know it WORKS!,37 тыс.,31 тыс.,869,"4,7 тыс.",58,31,163,Комментарии: 4 688,/story.php?story_fbid=10162035158735725&id=153080620724
Donald J. Trump,,"17,января,в,04:07","We must have border security – not for political purposes, but for our COUNTRY and for the SAFETY of our communities.",47 тыс.,39 тыс.,681,"6,6 тыс.",57,25,195,Комментарии: 6 526,/story.php?story_fbid=10162038778835725&id=153080620724
Donald J. Trump,,"16,января,в,17:00","President Donald J. Trump’s schedule for Wednesday, January 16th: · Meeting with Problem Solvers Caucus · Lunch with Secretary of State · Signing ceremony for S. 24, “Government Employee Fair Treatment Act of 2019”",13 тыс.,11 тыс.,348,"1,5 тыс.",29,7,67,Комментарии: 2 338,/story.php?story_fbid=10162036548515725&id=153080620724
Donald J. Trump,,"16,января,в,22:09",It is becoming more and more obvious that the Radical Democrats are a party of open borders and crime. They want nothing to do with the major Humanitarian Crisis on our Southern Border. 2020!,33 тыс.,28 тыс.,766,"3,5 тыс.",112,274,510,Комментарии: 6 012,/story.php?story_fbid=10162037392620725&id=153080620724
Donald J. Trump,,"16,января,в,07:29",Working hard!Усердно работаем!,22 тыс.,19 тыс.,794,"1,9 тыс.",55,6,77,Комментарии: 1 918,/story.php?story_fbid=10162035822545725&id=153080620724
Donald J. Trump,,"16,января,в,01:07",Veterans unemployment has reached an 18-YEAR LOW. Do you think the media will report on this and all of the other great economic news?,15 тыс.,12 тыс.,283,"2,4 тыс.",64,19,38,Комментарии: 1 976,/story.php?story_fbid=10162034583740725&id=153080620724
Donald J. Trump,,"15,января,в,21:21",More and more people are realizing that the Democrats care more about power than doing what is right for the country. I am fighting for ALL Americans!,27 тыс.,23 тыс.,664,3 тыс.,54,43,108,Комментарии: 3 335,/story.php?story_fbid=10162033305165725&id=153080620724
Donald J. Trump,,"16,января,в,04:02",The crisis of illegal immigration impacts ALL Americans.,30 тыс.,26 тыс.,558,"3,4 тыс.",71,50,123,Комментарии: 4 535,/story.php?story_fbid=10162035135455725&id=153080620724
Donald J. Trump,,"15,января,в,23:36","Democrats used to support funding for border security, but now they've changed their minds. POLITICS!","6,2 тыс.","5,2 тыс.",212,457,64,69,155,Комментарии: 1 325,/story.php?story_fbid=10162033345325725&id=153080620724
Donald J. Trump,,"15,января,в,19:11","Volkswagen will be investing $800 million to build electric cars in the U.S. Congratulations to Chattanooga, Tennessee. A BIG WIN!",111 тыс.,100 тыс.,411,"8,6 тыс.","1,8 тыс.",48,89,Комментарии: 4 323,/story.php?story_fbid=10162033385475725&id=153080620724
Donald J. Trump,,"15,января,в,02:57",There is a massive humanitarian crisis at our southern border – even 71% of Democrats agree. You need GREAT border security!,50 тыс.,43 тыс.,"1,2 тыс.","4,5 тыс.",183,59,182,Комментарии: 7 841,/story.php?story_fbid=10162018438245725&id=153080620724
"Donald J. Trump,The White House",The White House,"14,января,в,23:45",WATCH LIVE: President Trump Delivers Remarks at the American Farm Bureau Federation's 100th Annual Convention,12 тыс.,10 тыс.,253,"2,2 тыс.",33,15,63,Комментарии: 1 397,/story.php?story_fbid=10162030122680725&id=153080620724
Donald J. Trump,,"15,января,в,00:30",We cannot sit by while the border crisis gets worse. Republicans are ROCK SOLID on a border wall – Democrats have to do something!,39 тыс.,33 тыс.,800,"4,9 тыс.",65,26,147,Комментарии: 6 570,/story.php?story_fbid=10162030174870725&id=153080620724
Donald J. Trump,,"14,января,в,21:02","The people are with us 100%.  Nobody wants criminals, gangs, and drugs pouring into their country!",53 тыс.,45 тыс.,898,"6,9 тыс.",66,23,155,Комментарии: 7 028,/story.php?story_fbid=10162018416865725&id=153080620724
Donald J. Trump,,"15,января,в,17:01","President Donald J. Trump’s schedule for Tuesday, January 15th: · Lunch with Members of Congress · Briefing call on the border crisis with State, local, and community leaders",15 тыс.,12 тыс.,362,"1,7 тыс.",37,10,56,Комментарии: 3 251,/story.php?story_fbid=10162033055985725&id=153080620724
Donald J. Trump,,"13,января,в,03:09",Ending the border crisis with a barrier or border wall that is PROVEN to work is just common sense!,63 тыс.,55 тыс.,"1,1 тыс.","6,6 тыс.",79,28,158,Комментарии: 9 420,/story.php?story_fbid=10162018370340725&id=153080620724
Donald J. Trump,,"12,января,в,05:13",This is the tragic reality of illegal immigration on our southern border.  This is the cycle of human suffering I am determined to END.,68 тыс.,57 тыс.,732,6 тыс.,"2,2 тыс.","1,2 тыс.",935,Комментарии: 10 043,/story.php?story_fbid=10162018365330725&id=153080620724
Donald J. Trump,,"11,января,в,21:14","In life, there are certain principles worth fighting for – principles that are more important than politics, party, or personal convenience... The safety and security and sovereignty of the United States is the most important principle of all.",49 тыс.,40 тыс.,811,8 тыс.,64,15,124,Комментарии: 6 463,/story.php?story_fbid=10162013523575725&id=153080620724
Donald J. Trump,,"11,января,в,19:14","I will never back down when it comes to fighting for the security of the American people. The Democrats and mainstream media know we need strong border security, but they don't want to give ""Trump"" another win!",22 тыс.,19 тыс.,606,"2,7 тыс.",47,55,125,Комментарии: 3 785,/story.php?story_fbid=10162012286840725&id=153080620724
Donald J. Trump,,"11,января,в,23:27","The Fake News Media keeps saying we haven’t built any NEW WALL. Below is a section just completed on the border. Anti-climbing feature included. Very high, strong and beautiful! Also, many miles already renovated and in service!",129 тыс.,107 тыс.,"2,3 тыс.",18 тыс.,566,43,207,Комментарии: 14 852,/story.php?story_fbid=10162017260345725&id=153080620724
"Donald J. Trump,The White House",The White House,"11,января,в,04:07",From the Southern Border....С Южной границы....President Donald J. Trump - from the Southern Border....,83 тыс.,69 тыс.,971,12 тыс.,108,20,138,Комментарии: 5 842,/story.php?story_fbid=10162014260490725&id=153080620724
Donald J. Trump,,"11,января,в,02:48","During the campaign, I said Mexico is going to pay for the wall, and they are. They are paying for it through the many billions of dollars a year that the U.S. is saving with the incredible USMCA trade deal!",44 тыс.,36 тыс.,2 тыс.,"5,6 тыс.",99,21,159,Комментарии: 6 953,/story.php?story_fbid=10162013874095725&id=153080620724
Donald J. Trump,,"11,января,в,00:47",This is about whether we fulfill our sacred duty to the American citizens we serve.,35 тыс.,29 тыс.,753,"4,8 тыс.",44,20,111,Комментарии: 4 398,/story.php?story_fbid=10162012867870725&id=153080620724
Donald J. Trump,,"11,января,в,17:00","President Donald J. Trump’s schedule for Friday, January 11th: · Roundtable discussion on border security and safe communities with State, local, and community leaders",14 тыс.,12 тыс.,387,"1,8 тыс.",25,14,60,Комментарии: 2 923,/story.php?story_fbid=10162015330180725&id=153080620724
Donald J. Trump,,"11,января,в,05:02","""The American people want border security, not continued obstructionism. If the Democrats truly care about border security, they should immediately fund the border wall."" - Dan Bongino",53 тыс.,47 тыс.,954,"5,2 тыс.",63,20,167,Комментарии: 6 691,/story.php?story_fbid=10162010332300725&id=153080620724
Donald J. Trump,,"10,января,в,17:15","Our country is doing so well in so many ways – great jobs numbers, rebuilding our military, taking care of veterans, strong economy, historic tax cuts, slashed regulations, and great trade deals. But we MUST fix our Southern Border!",27 тыс.,22 тыс.,561,"3,6 тыс.",38,20,100,Комментарии: 3 599,/story.php?story_fbid=10162010289920725&id=153080620724
"Donald J. Trump,Charlie Kirk",Charlie Kirk,"10,января,в,23:07","BUILD THE WALL!Построй стену!We are not a nation without a border. Every day we leave our borders open, we let drugs, crime, and human traffickers flow freely in and out of our country FACT: 95% of Border Patrol agents when surveyed support the wall Let's make their jobs easier. BUILD THE WALL!",104 тыс.,90 тыс.,847,12 тыс.,265,44,173,Комментарии: 6 295,/story.php?story_fbid=10162013146790725&id=153080620724
Donald J. Trump,,"10,января,в,19:00",79 percent of voters believe there is either a “crisis” or “problem” at our Southern Border!,40 тыс.,36 тыс.,810,"2,8 тыс.",149,62,149,Комментарии: 6 210,/story.php?story_fbid=10162012191145725&id=153080620724
Donald J. Trump,,"10,января,в,21:50","‪President Obama, thank you for your great support – I have been saying this all along!‬",108 тыс.,79 тыс.,19 тыс.,"8,6 тыс.",858,55,455,Комментарии: 9 193,/story.php?story_fbid=10162012848980725&id=153080620724
Donald J. Trump,,"10,января,в,16:00","President Donald J. Trump's schedule for Thursday, January 10th: · Travel to McAllen, TX  · Roundtable on immigration and border security  · Briefing on border security · Travel to Washington, D.C.",17 тыс.,14 тыс.,320,"2,4 тыс.",35,9,46,Комментарии: 2 889,/story.php?story_fbid=10162010936285725&id=153080620724
Donald J. Trump,,"10,января,в,03:37",Some have suggested a barrier is immoral… The only thing that is immoral is the politicians to do NOTHING and continue to allow more innocent people to be so horribly victimized.,42 тыс.,36 тыс.,673,"5,8 тыс.",65,63,167,Комментарии: 7 145,/story.php?story_fbid=10162009067950725&id=153080620724
Donald J. Trump,,"9,января,в,22:52","America First, always.",92 тыс.,72 тыс.,"1,2 тыс.",18 тыс.,101,26,118,Комментарии: 7 314,/story.php?story_fbid=10162008667860725&id=153080620724
Donald J. Trump,,"10,января,в,00:50",The Border Wall would very quickly PAY FOR ITSELF. The cost of illegal drugs exceeds $500 billion dollars a year – vastly more than the $5.7 billion dollars we have requested from Congress.,41 тыс.,34 тыс.,845,"5,3 тыс.",69,29,135,Комментарии: 6 168,/story.php?story_fbid=10162008335065725&id=153080620724
Donald J. Trump,,"10,января,в,01:42","Just left a meeting with Chuck and Nancy, a total waste of time. I asked what is going to happen in 30 days if I quickly open things up, are you going to approve Border Security which includes a Wall or Steel Barrier? Nancy said, NO. I said bye-bye, nothing else works!",270 тыс.,213 тыс.,14 тыс.,35 тыс.,"1,7 тыс.","1,6 тыс.",3 тыс.,Комментарии: 60 273,/story.php?story_fbid=10162009328160725&id=153080620724
Donald J. Trump,,"9,января,в,20:57",The federal government remains shut down for one reason and one reason only: Because Democrats will not fund border security.,49 тыс.,41 тыс.,676,"5,8 тыс.",134,350,"1,6 тыс.",Комментарии: 9 248,/story.php?story_fbid=10162008271890725&id=153080620724
Donald J. Trump,,"9,января,в,17:01","President Donald J. Trump’s schedule for Wednesday, January 9th: · Signing ceremony for Anti-Human Trafficking Legislation · Senate Republican policy lunch · Meeting with Congressional Leadership",18 тыс.,15 тыс.,302,"2,5 тыс.",41,9,40,Комментарии: 3 181,/story.php?story_fbid=10162007580470725&id=153080620724
Donald J. Trump,,"9,января,в,09:24",To every Member of Congress: pass a bill that ends this crisis. To every citizen: call Congress and tell them to finally – after all of these decades – SECURE OUR BORDER.,62 тыс.,50 тыс.,1 тыс.,10 тыс.,92,75,182,Комментарии: 7 677,/story.php?story_fbid=10162006686215725&id=153080620724
"Donald J. Trump,The White House",The White House,"9,января,в,07:01",WATCH LIVE as President Trump Addresses the Nation,51 тыс.,39 тыс.,729,11 тыс.,69,32,186,Комментарии: 6 276,/story.php?story_fbid=10162006138575725&id=153080620724
Donald J. Trump,,"9,января,в,04:37","What’s more important to the Democrats? Stopping me from fulfilling another one of my promises, or working together to secure the border? Americans want border security!",85 тыс.,75 тыс.,"1,2 тыс.","7,9 тыс.",90,72,234,Комментарии: 10 385,/story.php?story_fbid=10162004985085725&id=153080620724
Donald J. Trump,,"9,января,в,01:53",We must PROTECT and DEFEND the United States. We have no choice.,118 тыс.,99 тыс.,"1,1 тыс.",17 тыс.,88,21,181,Комментарии: 8 993,/story.php?story_fbid=10162005076760725&id=153080620724
Donald J. Trump,,"8,января,в,19:56","We created more than a quarter-million jobs last month. Employers are showing great confidence in our economy despite all the negativity coming from anti-Trump economic “experts!""",20 тыс.,17 тыс.,479,"2,1 тыс.",51,10,56,Комментарии: 2 252,/story.php?story_fbid=10162000304070725&id=153080620724
Donald J. Trump,,"8,января,в,01:28",Our latest jobs numbers are off the charts! Not even the mainstream media can ignore these incredible economic gains!,29 тыс.,24 тыс.,460,"4,4 тыс.",115,3,47,Комментарии: 3 059,/story.php?story_fbid=10162000852905725&id=153080620724
Donald J. Trump,,"8,января,в,23:01","Illegal immigration costs our nation $275 BILLION a year, MILLIONS of jobs, and THOUSANDS of innocent lives. What is it going to take to finally secure our border?",62 тыс.,54 тыс.,1 тыс.,"6,3 тыс.",582,282,461,Комментарии: 9 823,/story.php?story_fbid=10162004527235725&id=153080620724
Donald J. Trump,,"8,января,в,03:53",The Fake News Media is the Enemy of the People!,65 тыс.,56 тыс.,"1,4 тыс.","6,9 тыс.",113,121,355,Комментарии: 9 277,/story.php?story_fbid=10162001293050725&id=153080620724
Donald J. Trump,,"7,января,в,22:59","We are now planning a steel barrier rather than concrete. Stronger, less obtrusive, and made in the U.S.A.",76 тыс.,62 тыс.,"1,8 тыс.",11 тыс.,173,35,184,Комментарии: 9 698,/story.php?story_fbid=10162000309830725&id=153080620724
Donald J. Trump,,"5,января,в,05:03","Think of this: Democrats want $12 billion in addition to the $54 billion we give in foreign aid, but they won’t approve $5.6 billion for a wall.",96 тыс.,68 тыс.,1 тыс.,"2,9 тыс.","2,2 тыс.","3,5 тыс.",18 тыс.,Комментарии: 20 021,/story.php?story_fbid=10161988593545725&id=153080620724
Donald J. Trump,,"6,января,в,22:40",,315 тыс.,237 тыс.,24 тыс.,51 тыс.,"1,1 тыс.",195,893,Комментарии: 31 747,/story.php?story_fbid=10161996092010725&id=153080620724
Donald J. Trump,,"5,января,в,20:39",BOTTOM LINE: You cannot have REAL border security without the WALL. Look at all of the countries that have walls – they work 100%!,55 тыс.,46 тыс.,"1,3 тыс.","7,2 тыс.",76,38,192,Комментарии: 10 400,/story.php?story_fbid=10161988641275725&id=153080620724
